sentence,departure,arrival
C'est le moment idéal pour un voyage de Pau à Rouen en train.,Pau,Rouen
Je songe à voyager en train de Bordeaux vers Lyon.,Bordeaux,Lyon
Le train de Toulon à La Rochelle offre une vue magnifique.,Toulon,La Rochelle
"Pour mes prochaines vacances, je vais de Saint-Étienne à Pau en train.",Saint-Étienne,Pau
Je rêve de visiter Paris en prenant le train depuis Limoges.,Limoges,Paris
Je vais explorer Orléans en train en partant de Saint-Étienne.,Saint-Étienne,Orléans
Je veux prendre le train de Paris à Amiens.,Paris,Amiens
"Voyager de Bordeaux à Nîmes en train, est-ce une option possible ?",Bordeaux,Nîmes
Partir de Saint-Étienne pour Orléans en train serait génial.,Saint-Étienne,Orléans
Je rêve de faire un voyage en train de Calais à Marseille.,Calais,Marseille
Le train de Bordeaux à La Rochelle est-il disponible demain ?,Bordeaux,La Rochelle
Lyon est une belle ville. Je veux y aller en train depuis Limoges.,Limoges,Lyon
"Voyager de Le Mans à Besançon en train, est-ce une option possible ?",Le Mans,Besançon
Le train de Strasbourg à Besançon est-il disponible demain ?,Strasbourg,Besançon
Le voyage de Pau à Le Mans en train est une excellente idée.,Pau,Le Mans
Le train de Clermont-Ferrand à Orléans est-il disponible demain ?,Clermont-Ferrand,Orléans
Je rêve de visiter Clermont-Ferrand en prenant le train depuis Paris.,Paris,Clermont-Ferrand
Je songe à voyager en train de Orléans vers Le Havre.,Orléans,Le Havre
Le train de Nice à Pau est-il disponible demain ?,Nice,Pau
Je m'apprête à réserver un billet de train pour Béziers depuis Amiens.,Amiens,Béziers
Mon prochain voyage sera de Toulouse à Le Mans en train.,Toulouse,Le Mans
Je vais explorer Rennes en train en partant de Pau.,Pau,Rennes
Je souhaite découvrir Amiens en prenant le train depuis Pau.,Pau,Amiens
Mon prochain voyage sera de Strasbourg à La Rochelle en train.,Strasbourg,La Rochelle
Je m'apprête à réserver un billet de train pour Montpellier depuis Calais.,Calais,Montpellier
"Pour mes prochaines vacances, je vais de Paris à Saint-Étienne en train.",Paris,Saint-Étienne
"De Nîmes à Saint-Denis, le train est le choix le plus pratique.",Nîmes,Saint-Denis
"De Amiens à Paris, le train est le choix le plus pratique.",Amiens,Paris
Je rêve de visiter Paris en prenant le train depuis Strasbourg.,Strasbourg,Paris
Le train de Toulouse à Le Havre est-il disponible demain ?,Toulouse,Le Havre
Le train est le meilleur moyen de se rendre de Montpellier à Pau.,Montpellier,Pau
Le train de Béziers à Toulouse offre une vue magnifique.,Béziers,Toulouse
C'est le moment idéal pour un voyage de Le Mans à Bordeaux en train.,Le Mans,Bordeaux
"De Saint-Denis à Aix-en-Provence, le train est le choix le plus pratique.",Saint-Denis,Aix-en-Provence
Je prévois de voyager de Perpignan à Saint-Denis en train.,Perpignan,Saint-Denis
Le voyage de Paris à Clermont-Ferrand en train est une excellente idée.,Paris,Clermont-Ferrand
Je rêve de faire un voyage en train de Nantes à Clermont-Ferrand.,Nantes,Clermont-Ferrand
Je songe à voyager en train de Pau vers Tourcoing.,Pau,Tourcoing
J'ai prévu de partir en train de Rouen à Pau.,Rouen,Pau
Je prévois de voyager de Lille à Le Mans en train.,Lille,Le Mans
Je m'apprête à réserver un billet de train pour Aix-en-Provence depuis Marseille.,Marseille,Aix-en-Provence
"Allons de Le Mans à Clermont-Ferrand en train, qu'en penses-tu ?",Le Mans,Clermont-Ferrand
Je prévois de voyager de Le Mans à Calais en train.,Le Mans,Calais
J'ai prévu de partir en train de Paris à Perpignan.,Paris,Perpignan
Le train est le meilleur moyen de se rendre de Béziers à Le Havre.,Béziers,Le Havre
Le train est le meilleur moyen de se rendre de Nîmes à Le Mans.,Nîmes,Le Mans
Le train de Nice à La Rochelle est-il disponible demain ?,Nice,La Rochelle
Je songe à voyager en train de Aix-en-Provence vers Lille.,Aix-en-Provence,Lille
Partir de Toulon pour Toulouse en train serait génial.,Toulon,Toulouse
Partir de Amiens pour Strasbourg en train serait génial.,Amiens,Strasbourg
Je rêve de visiter Nice en prenant le train depuis Saint-Denis.,Saint-Denis,Nice
Le trajet en train de Toulon à Calais est long mais pittoresque.,Toulon,Calais
"De Pau à Besançon, le train est le choix le plus pratique.",Pau,Besançon
Je rêve de faire un voyage en train de Perpignan à Limoges.,Perpignan,Limoges
"De Pau à Limoges, le train est le choix le plus pratique.",Pau,Limoges
Je souhaite découvrir Besançon en prenant le train depuis Tourcoing.,Tourcoing,Besançon
Partir de Clermont-Ferrand pour Béziers en train serait génial.,Clermont-Ferrand,Béziers
J'ai prévu de partir en train de Nice à Amiens.,Nice,Amiens
"Voyager de Amiens à Toulon en train, est-ce une option possible ?",Amiens,Toulon
"De Le Mans à Toulouse, le train est mon choix préféré.",Le Mans,Toulouse
"Voyager de Amiens à Rennes en train, est-ce une option possible ?",Amiens,Rennes
"Voyager de Le Mans à Strasbourg en train, est-ce une option possible ?",Le Mans,Strasbourg
Pourquoi ne pas partir de Amiens à Rouen en train ce week-end ?,Amiens,Rouen
Le train de Lille à Lyon est-il disponible demain ?,Lille,Lyon
"Allons de Toulouse à Pau en train, qu'en penses-tu ?",Toulouse,Pau
Je rêve de faire un voyage en train de Nice à Toulouse.,Nice,Toulouse
Je m'apprête à réserver un billet de train pour La Rochelle depuis Lille.,Lille,La Rochelle
"Voyager de Paris à Limoges en train, est-ce une option possible ?",Paris,Limoges
Je souhaite découvrir Limoges en prenant le train depuis Besançon.,Besançon,Limoges
Je prévois de voyager de Le Mans à Rennes en train.,Le Mans,Rennes
Calais est une belle ville. Je veux y aller en train depuis Pau.,Pau,Calais
Je veux prendre le train de Toulon à Saint-Denis.,Toulon,Saint-Denis
Pourquoi ne pas partir de Nîmes à Bordeaux en train ce week-end ?,Nîmes,Bordeaux
Le voyage de Limoges à Pau en train est une excellente idée.,Limoges,Pau
Le voyage de Béziers à Nice en train est une excellente idée.,Béziers,Nice
Le train est le meilleur moyen de se rendre de Toulon à Nantes.,Toulon,Nantes
Je souhaite découvrir Besançon en prenant le train depuis Nantes.,Nantes,Besançon
"Allons de Clermont-Ferrand à La Rochelle en train, qu'en penses-tu ?",Clermont-Ferrand,La Rochelle
Je m'apprête à réserver un billet de train pour Lyon depuis Orléans.,Orléans,Lyon
Je m'apprête à réserver un billet de train pour Marseille depuis Montpellier.,Montpellier,Marseille
Je rêve de visiter Strasbourg en prenant le train depuis Le Havre.,Le Havre,Strasbourg
Je prévois de voyager de Besançon à Bordeaux en train.,Besançon,Bordeaux
"Voyager de Rouen à La Rochelle en train, est-ce une option possible ?",Rouen,La Rochelle
"De Béziers à Calais, le train est le choix le plus pratique.",Béziers,Calais
Le train de Toulon à Saint-Étienne offre une vue magnifique.,Toulon,Saint-Étienne
Aix-en-Provence est une belle ville. Je veux y aller en train depuis Paris.,Paris,Aix-en-Provence
Je souhaite découvrir Limoges en prenant le train depuis Nice.,Nice,Limoges
Mon prochain voyage sera de Béziers à Montpellier en train.,Béziers,Montpellier
Le train de Nantes à Le Havre est-il disponible demain ?,Nantes,Le Havre
"Voyager de Toulon à Marseille en train, est-ce une option possible ?",Toulon,Marseille
Je veux prendre le train de La Rochelle à Calais.,La Rochelle,Calais
Je rêve de visiter Lyon en prenant le train depuis Le Havre.,Le Havre,Lyon
Le trajet en train de Rennes à Toulon est long mais pittoresque.,Rennes,Toulon
Je veux prendre le train de Le Mans à Calais.,Le Mans,Calais
"Pour mes prochaines vacances, je vais de Limoges à Bordeaux en train.",Limoges,Bordeaux
Je prévois de voyager de Perpignan à Bordeaux en train.,Perpignan,Bordeaux
Le voyage de Le Havre à Limoges en train est une excellente idée.,Le Havre,Limoges
J'ai prévu de partir en train de Calais à Limoges.,Calais,Limoges
Je vais explorer Nantes en train en partant de Besançon.,Besançon,Nantes
J'ai prévu de partir en train de Perpignan à Toulouse.,Perpignan,Toulouse
Mon prochain voyage sera de Limoges à Toulon en train.,Limoges,Toulon
Je rêve de faire un voyage en train de Aix-en-Provence à Saint-Étienne.,Aix-en-Provence,Saint-Étienne
Je souhaite découvrir Besançon en prenant le train depuis Rouen.,Rouen,Besançon
Le trajet en train de Amiens à Saint-Denis est long mais pittoresque.,Amiens,Saint-Denis
Je m'apprête à réserver un billet de train pour Nîmes depuis Rouen.,Rouen,Nîmes
Je vais explorer Marseille en train en partant de Besançon.,Besançon,Marseille
"Allons de Tourcoing à Amiens en train, qu'en penses-tu ?",Tourcoing,Amiens
J'ai prévu de partir en train de Besançon à Toulouse.,Besançon,Toulouse
Le train de Saint-Étienne à Limoges est-il disponible demain ?,Saint-Étienne,Limoges
Je vais explorer Limoges en train en partant de Pau.,Pau,Limoges
"De Calais à Strasbourg, le train est le choix le plus pratique.",Calais,Strasbourg
"De Strasbourg à Nice, le train est le choix le plus pratique.",Strasbourg,Nice
Pourquoi ne pas partir de Lyon à Toulouse en train ce week-end ?,Lyon,Toulouse
Je prévois de voyager de Strasbourg à Rennes en train.,Strasbourg,Rennes
Je rêve de faire un voyage en train de Marseille à Bordeaux.,Marseille,Bordeaux
"Pour mes prochaines vacances, je vais de Marseille à Béziers en train.",Marseille,Béziers
Le voyage de Paris à Orléans en train est une excellente idée.,Paris,Orléans
Partir de Le Mans pour Calais en train serait génial.,Le Mans,Calais
Je m'apprête à réserver un billet de train pour Besançon depuis Marseille.,Marseille,Besançon
C'est le moment idéal pour un voyage de Nîmes à Pau en train.,Nîmes,Pau
Partir de Besançon pour Béziers en train serait génial.,Besançon,Béziers
Je rêve de visiter Saint-Étienne en prenant le train depuis Lille.,Lille,Saint-Étienne
C'est le moment idéal pour un voyage de Saint-Denis à Perpignan en train.,Saint-Denis,Perpignan
"De Perpignan à Strasbourg, le train est le choix le plus pratique.",Perpignan,Strasbourg
"Allons de Béziers à Le Havre en train, qu'en penses-tu ?",Béziers,Le Havre
J'ai prévu de partir en train de La Rochelle à Nantes.,La Rochelle,Nantes
Je souhaite découvrir Bordeaux en prenant le train depuis Paris.,Paris,Bordeaux
Mon prochain voyage sera de Le Havre à Toulon en train.,Le Havre,Toulon
"Voyager de Perpignan à Clermont-Ferrand en train, est-ce une option possible ?",Perpignan,Clermont-Ferrand
Le train de Montpellier à Le Mans offre une vue magnifique.,Montpellier,Le Mans
Partir de Rennes pour Rouen en train serait génial.,Rennes,Rouen
Le train de Lille à La Rochelle offre une vue magnifique.,Lille,La Rochelle
"Allons de Toulouse à Le Mans en train, qu'en penses-tu ?",Toulouse,Le Mans
"Pour mes prochaines vacances, je vais de Lyon à Aix-en-Provence en train.",Lyon,Aix-en-Provence
Mon prochain voyage sera de Perpignan à La Rochelle en train.,Perpignan,La Rochelle
Le train de Limoges à Bordeaux offre une vue magnifique.,Limoges,Bordeaux
Je rêve de faire un voyage en train de Rouen à Perpignan.,Rouen,Perpignan
Pourquoi ne pas partir de Bordeaux à Toulon en train ce week-end ?,Bordeaux,Toulon
Montpellier est une belle ville. Je veux y aller en train depuis Besançon.,Besançon,Montpellier
"Allons de Besançon à Béziers en train, qu'en penses-tu ?",Besançon,Béziers
Je vais explorer Orléans en train en partant de Amiens.,Amiens,Orléans
Je vais explorer La Rochelle en train en partant de Toulon.,Toulon,La Rochelle
Je prévois de voyager de Saint-Étienne à Rennes en train.,Saint-Étienne,Rennes
Le train est le meilleur moyen de se rendre de Nice à Pau.,Nice,Pau
Je rêve de faire un voyage en train de Saint-Denis à Marseille.,Saint-Denis,Marseille
Je vais explorer Saint-Étienne en train en partant de Lyon.,Lyon,Saint-Étienne
"De Saint-Denis à Nice, le train est le choix le plus pratique.",Saint-Denis,Nice
Je souhaite découvrir Toulouse en prenant le train depuis Bordeaux.,Bordeaux,Toulouse
Le voyage de Bordeaux à Pau en train est une excellente idée.,Bordeaux,Pau
"Pour mes prochaines vacances, je vais de La Rochelle à Clermont-Ferrand en train.",La Rochelle,Clermont-Ferrand
Je veux prendre le train de Saint-Denis à Aix-en-Provence.,Saint-Denis,Aix-en-Provence
C'est le moment idéal pour un voyage de Béziers à Clermont-Ferrand en train.,Béziers,Clermont-Ferrand
Je veux prendre le train de Lille à La Rochelle.,Lille,La Rochelle
Mon prochain voyage sera de Amiens à Montpellier en train.,Amiens,Montpellier
Je prévois de voyager de Amiens à Perpignan en train.,Amiens,Perpignan
"De Le Havre à Montpellier, le train est mon choix préféré.",Le Havre,Montpellier
Je prévois de voyager de Nice à Lyon en train.,Nice,Lyon
"De Nantes à Amiens, le train est mon choix préféré.",Nantes,Amiens
Pourquoi ne pas partir de Lille à Perpignan en train ce week-end ?,Lille,Perpignan
Je m'apprête à réserver un billet de train pour Nice depuis Saint-Étienne.,Saint-Étienne,Nice
C'est le moment idéal pour un voyage de Limoges à Tourcoing en train.,Limoges,Tourcoing
"Pour mes prochaines vacances, je vais de Toulon à Nice en train.",Toulon,Nice
C'est le moment idéal pour un voyage de Lyon à Nantes en train.,Lyon,Nantes
Je rêve de visiter Perpignan en prenant le train depuis Saint-Denis.,Saint-Denis,Perpignan
Je rêve de faire un voyage en train de Lille à Tourcoing.,Lille,Tourcoing
Le trajet en train de Paris à Tourcoing est long mais pittoresque.,Paris,Tourcoing
Perpignan est une belle ville. Je veux y aller en train depuis Clermont-Ferrand.,Clermont-Ferrand,Perpignan
Je rêve de faire un voyage en train de Lille à Perpignan.,Lille,Perpignan
Partir de Rennes pour Nice en train serait génial.,Rennes,Nice
"Pour mes prochaines vacances, je vais de Tourcoing à Lyon en train.",Tourcoing,Lyon
Le train de Montpellier à Lille est-il disponible demain ?,Montpellier,Lille
Je rêve de faire un voyage en train de Clermont-Ferrand à Toulon.,Clermont-Ferrand,Toulon
Je m'apprête à réserver un billet de train pour Saint-Denis depuis Besançon.,Besançon,Saint-Denis
Je m'apprête à réserver un billet de train pour Orléans depuis Marseille.,Marseille,Orléans
Je veux prendre le train de Orléans à Strasbourg.,Orléans,Strasbourg
Je vais explorer Toulouse en train en partant de Le Havre.,Le Havre,Toulouse
J'ai prévu de partir en train de Le Mans à Montpellier.,Le Mans,Montpellier
"De Clermont-Ferrand à Tourcoing, le train est le choix le plus pratique.",Clermont-Ferrand,Tourcoing
C'est le moment idéal pour un voyage de Nice à Nîmes en train.,Nice,Nîmes
"De Rouen à Limoges, le train est le choix le plus pratique.",Rouen,Limoges
Je rêve de visiter Rouen en prenant le train depuis Marseille.,Marseille,Rouen
"Allons de Marseille à Bordeaux en train, qu'en penses-tu ?",Marseille,Bordeaux
Le train de Marseille à Nice offre une vue magnifique.,Marseille,Nice
C'est le moment idéal pour un voyage de Orléans à Marseille en train.,Orléans,Marseille
Je veux prendre le train de Lille à Orléans.,Lille,Orléans
C'est le moment idéal pour un voyage de La Rochelle à Lyon en train.,La Rochelle,Lyon
Partir de Besançon pour Tourcoing en train serait génial.,Besançon,Tourcoing
Je veux prendre le train de Lyon à Strasbourg.,Lyon,Strasbourg
Je souhaite découvrir Orléans en prenant le train depuis Béziers.,Béziers,Orléans
Pourquoi ne pas partir de Besançon à Rennes en train ce week-end ?,Besançon,Rennes
Pourquoi ne pas partir de Tourcoing à Strasbourg en train ce week-end ?,Tourcoing,Strasbourg
Partir de Rennes pour Strasbourg en train serait génial.,Rennes,Strasbourg
Je prévois de voyager de Besançon à Saint-Étienne en train.,Besançon,Saint-Étienne
Je prévois de voyager de Amiens à Béziers en train.,Amiens,Béziers
"De Clermont-Ferrand à Nice, le train est le choix le plus pratique.",Clermont-Ferrand,Nice
Le train est le meilleur moyen de se rendre de Le Havre à Toulon.,Le Havre,Toulon
Je rêve de visiter La Rochelle en prenant le train depuis Tourcoing.,Tourcoing,La Rochelle
Je m'apprête à réserver un billet de train pour Saint-Étienne depuis Béziers.,Béziers,Saint-Étienne
Partir de Amiens pour Besançon en train serait génial.,Amiens,Besançon
J'ai prévu de partir en train de Clermont-Ferrand à Saint-Étienne.,Clermont-Ferrand,Saint-Étienne
Je veux prendre le train de Bordeaux à Lille.,Bordeaux,Lille
Je veux prendre le train de Aix-en-Provence à Le Mans.,Aix-en-Provence,Le Mans
Le train est le meilleur moyen de se rendre de Bordeaux à Rennes.,Bordeaux,Rennes
"Voyager de Tourcoing à Lille en train, est-ce une option possible ?",Tourcoing,Lille
Je vais explorer Pau en train en partant de Tourcoing.,Tourcoing,Pau
Le train de Bordeaux à Le Mans est-il disponible demain ?,Bordeaux,Le Mans
Partir de Lille pour Amiens en train serait génial.,Lille,Amiens
Le trajet en train de Perpignan à Rennes est long mais pittoresque.,Perpignan,Rennes
J'ai prévu de partir en train de Montpellier à Rennes.,Montpellier,Rennes
Le voyage de Nîmes à Aix-en-Provence en train est une excellente idée.,Nîmes,Aix-en-Provence
Je songe à voyager en train de Paris vers Clermont-Ferrand.,Paris,Clermont-Ferrand
Je prévois de voyager de Clermont-Ferrand à Nice en train.,Clermont-Ferrand,Nice
"Voyager de Lyon à Bordeaux en train, est-ce une option possible ?",Lyon,Bordeaux
"De Limoges à Le Mans, le train est mon choix préféré.",Limoges,Le Mans
J'ai prévu de partir en train de Perpignan à Rouen.,Perpignan,Rouen
Strasbourg est une belle ville. Je veux y aller en train depuis Montpellier.,Montpellier,Strasbourg
Limoges est une belle ville. Je veux y aller en train depuis Amiens.,Amiens,Limoges
Partir de Toulon pour Lyon en train serait génial.,Toulon,Lyon
Partir de La Rochelle pour Nîmes en train serait génial.,La Rochelle,Nîmes
"Voyager de Lyon à Paris en train, est-ce une option possible ?",Lyon,Paris
Le voyage de Nîmes à Toulouse en train est une excellente idée.,Nîmes,Toulouse
Le train est le meilleur moyen de se rendre de Montpellier à Lille.,Montpellier,Lille
C'est le moment idéal pour un voyage de Besançon à Pau en train.,Besançon,Pau
Je rêve de visiter Rouen en prenant le train depuis Béziers.,Béziers,Rouen
"De Lille à Rouen, le train est le choix le plus pratique.",Lille,Rouen
Le train de Lyon à Calais est-il disponible demain ?,Lyon,Calais
Le train est le meilleur moyen de se rendre de Strasbourg à Lille.,Strasbourg,Lille
Je vais explorer Clermont-Ferrand en train en partant de Nice.,Nice,Clermont-Ferrand
"De Tourcoing à Le Havre, le train est le choix le plus pratique.",Tourcoing,Le Havre
"De Tourcoing à Nîmes, le train est mon choix préféré.",Tourcoing,Nîmes
Le train est le meilleur moyen de se rendre de Nice à Tourcoing.,Nice,Tourcoing
Je veux prendre le train de Orléans à Tourcoing.,Orléans,Tourcoing
Le voyage de Tourcoing à Montpellier en train est une excellente idée.,Tourcoing,Montpellier
Le train est le meilleur moyen de se rendre de Marseille à Calais.,Marseille,Calais
J'ai prévu de partir en train de Toulouse à Saint-Étienne.,Toulouse,Saint-Étienne
Je vais explorer Paris en train en partant de Toulon.,Toulon,Paris
Je veux prendre le train de Limoges à Clermont-Ferrand.,Limoges,Clermont-Ferrand
Le train de Rouen à Marseille offre une vue magnifique.,Rouen,Marseille
Je m'apprête à réserver un billet de train pour Aix-en-Provence depuis Calais.,Calais,Aix-en-Provence
Je songe à voyager en train de Amiens vers Béziers.,Amiens,Béziers
Je m'apprête à réserver un billet de train pour Calais depuis Le Mans.,Le Mans,Calais
C'est le moment idéal pour un voyage de Saint-Étienne à Rouen en train.,Saint-Étienne,Rouen
Je rêve de visiter Lyon en prenant le train depuis Toulon.,Toulon,Lyon
Je veux prendre le train de Calais à Nice.,Calais,Nice
Mon prochain voyage sera de Besançon à Lyon en train.,Besançon,Lyon
Je rêve de visiter Saint-Étienne en prenant le train depuis Le Havre.,Le Havre,Saint-Étienne
Je m'apprête à réserver un billet de train pour Orléans depuis Pau.,Pau,Orléans
Le train de Montpellier à Bordeaux offre une vue magnifique.,Montpellier,Bordeaux
Partir de Toulon pour Nîmes en train serait génial.,Toulon,Nîmes
Je songe à voyager en train de Toulouse vers Orléans.,Toulouse,Orléans
Partir de Saint-Étienne pour Clermont-Ferrand en train serait génial.,Saint-Étienne,Clermont-Ferrand
Je rêve de faire un voyage en train de Pau à Aix-en-Provence.,Pau,Aix-en-Provence
Le train de Lille à Tourcoing offre une vue magnifique.,Lille,Tourcoing
Le train de Le Mans à La Rochelle est-il disponible demain ?,Le Mans,La Rochelle
C'est le moment idéal pour un voyage de Besançon à Nice en train.,Besançon,Nice
Le train est le meilleur moyen de se rendre de Lille à Nantes.,Lille,Nantes
Pourquoi ne pas partir de Clermont-Ferrand à Toulon en train ce week-end ?,Clermont-Ferrand,Toulon
"Voyager de Strasbourg à Nantes en train, est-ce une option possible ?",Strasbourg,Nantes
Je rêve de visiter Strasbourg en prenant le train depuis Le Mans.,Le Mans,Strasbourg
"De Saint-Étienne à Strasbourg, le train est le choix le plus pratique.",Saint-Étienne,Strasbourg
Saint-Étienne est une belle ville. Je veux y aller en train depuis Rouen.,Rouen,Saint-Étienne
Pourquoi ne pas partir de Limoges à Marseille en train ce week-end ?,Limoges,Marseille
Le train de Strasbourg à Marseille offre une vue magnifique.,Strasbourg,Marseille
Je songe à voyager en train de Le Havre vers Nîmes.,Le Havre,Nîmes
C'est le moment idéal pour un voyage de Lille à Lyon en train.,Lille,Lyon
Le train de Lyon à Amiens offre une vue magnifique.,Lyon,Amiens
Bordeaux est une belle ville. Je veux y aller en train depuis Saint-Denis.,Saint-Denis,Bordeaux
Je veux prendre le train de Toulon à Rennes.,Toulon,Rennes
"Voyager de Tourcoing à Nice en train, est-ce une option possible ?",Tourcoing,Nice
Je rêve de visiter Bordeaux en prenant le train depuis Béziers.,Béziers,Bordeaux
Le train de Pau à Le Mans est-il disponible demain ?,Pau,Le Mans
Pourquoi ne pas partir de Béziers à Paris en train ce week-end ?,Béziers,Paris
Je songe à voyager en train de Besançon vers Calais.,Besançon,Calais
Le voyage de Lille à Le Havre en train est une excellente idée.,Lille,Le Havre
"Pour mes prochaines vacances, je vais de Amiens à Saint-Étienne en train.",Amiens,Saint-Étienne
Le train est le meilleur moyen de se rendre de Béziers à Montpellier.,Béziers,Montpellier
Je prévois de voyager de Montpellier à Nantes en train.,Montpellier,Nantes
Le train de Nîmes à Aix-en-Provence est-il disponible demain ?,Nîmes,Aix-en-Provence
Je rêve de visiter Bordeaux en prenant le train depuis Lille.,Lille,Bordeaux
Je vais explorer Béziers en train en partant de Le Mans.,Le Mans,Béziers
Partir de Amiens pour Bordeaux en train serait génial.,Amiens,Bordeaux
Je m'apprête à réserver un billet de train pour Paris depuis Calais.,Calais,Paris
Le train de Rennes à Le Havre est-il disponible demain ?,Rennes,Le Havre
Pourquoi ne pas partir de Saint-Denis à Saint-Étienne en train ce week-end ?,Saint-Denis,Saint-Étienne
J'ai prévu de partir en train de Clermont-Ferrand à Lyon.,Clermont-Ferrand,Lyon
C'est le moment idéal pour un voyage de Nîmes à Montpellier en train.,Nîmes,Montpellier
Je rêve de faire un voyage en train de Aix-en-Provence à Montpellier.,Aix-en-Provence,Montpellier
Je rêve de visiter Paris en prenant le train depuis Saint-Denis.,Saint-Denis,Paris
Je veux prendre le train de Perpignan à Amiens.,Perpignan,Amiens
Je songe à voyager en train de Besançon vers Perpignan.,Besançon,Perpignan
Le train est le meilleur moyen de se rendre de Paris à Rennes.,Paris,Rennes
Le train est le meilleur moyen de se rendre de Béziers à Rouen.,Béziers,Rouen
Je rêve de faire un voyage en train de Aix-en-Provence à Amiens.,Aix-en-Provence,Amiens
Je souhaite découvrir Le Havre en prenant le train depuis Rennes.,Rennes,Le Havre
Le trajet en train de Lille à Nice est long mais pittoresque.,Lille,Nice
J'ai prévu de partir en train de Montpellier à Le Havre.,Montpellier,Le Havre
"De Marseille à Amiens, le train est mon choix préféré.",Marseille,Amiens
C'est le moment idéal pour un voyage de Calais à Rennes en train.,Calais,Rennes
Le train est le meilleur moyen de se rendre de La Rochelle à Lyon.,La Rochelle,Lyon
"De Le Mans à Rennes, le train est le choix le plus pratique.",Le Mans,Rennes
Le voyage de Lille à Toulon en train est une excellente idée.,Lille,Toulon
Mon prochain voyage sera de Saint-Denis à Rennes en train.,Saint-Denis,Rennes
Pourquoi ne pas partir de Lyon à Le Mans en train ce week-end ?,Lyon,Le Mans
"Pour mes prochaines vacances, je vais de Montpellier à Béziers en train.",Montpellier,Béziers
Le trajet en train de Montpellier à Calais est long mais pittoresque.,Montpellier,Calais
Je prévois de voyager de La Rochelle à Besançon en train.,La Rochelle,Besançon
Le train est le meilleur moyen de se rendre de Montpellier à Béziers.,Montpellier,Béziers
"De Calais à Rouen, le train est le choix le plus pratique.",Calais,Rouen
C'est le moment idéal pour un voyage de Calais à Besançon en train.,Calais,Besançon
Je veux prendre le train de Béziers à Marseille.,Béziers,Marseille
Je vais explorer Saint-Denis en train en partant de Marseille.,Marseille,Saint-Denis
Rouen est une belle ville. Je veux y aller en train depuis Limoges.,Limoges,Rouen
Le train est le meilleur moyen de se rendre de Besançon à Toulon.,Besançon,Toulon
Le voyage de Saint-Denis à Nîmes en train est une excellente idée.,Saint-Denis,Nîmes
"Allons de Nantes à Béziers en train, qu'en penses-tu ?",Nantes,Béziers
Je m'apprête à réserver un billet de train pour Lyon depuis Toulon.,Toulon,Lyon
"De Nîmes à Rennes, le train est mon choix préféré.",Nîmes,Rennes
"Allons de Marseille à Limoges en train, qu'en penses-tu ?",Marseille,Limoges
Je rêve de faire un voyage en train de Le Mans à Nantes.,Le Mans,Nantes
"Voyager de Nice à Saint-Denis en train, est-ce une option possible ?",Nice,Saint-Denis
J'ai prévu de partir en train de Nice à Rennes.,Nice,Rennes
Le voyage de Lille à Bordeaux en train est une excellente idée.,Lille,Bordeaux
Je m'apprête à réserver un billet de train pour Montpellier depuis Saint-Denis.,Saint-Denis,Montpellier
J'ai prévu de partir en train de Lille à La Rochelle.,Lille,La Rochelle
C'est le moment idéal pour un voyage de Nantes à Rouen en train.,Nantes,Rouen
Le train de Marseille à Aix-en-Provence offre une vue magnifique.,Marseille,Aix-en-Provence
Je rêve de faire un voyage en train de Rouen à Pau.,Rouen,Pau
Mon prochain voyage sera de Amiens à Paris en train.,Amiens,Paris
Partir de Le Mans pour Montpellier en train serait génial.,Le Mans,Montpellier
"Pour mes prochaines vacances, je vais de Tourcoing à Paris en train.",Tourcoing,Paris
Mon prochain voyage sera de Limoges à Lyon en train.,Limoges,Lyon
C'est le moment idéal pour un voyage de Marseille à Nice en train.,Marseille,Nice
Je prévois de voyager de Marseille à Lille en train.,Marseille,Lille
Je prévois de voyager de Calais à Le Mans en train.,Calais,Le Mans
Le trajet en train de Orléans à Rouen est long mais pittoresque.,Orléans,Rouen
Je souhaite découvrir Bordeaux en prenant le train depuis Rennes.,Rennes,Bordeaux
C'est le moment idéal pour un voyage de Strasbourg à Paris en train.,Strasbourg,Paris
Je m'apprête à réserver un billet de train pour Saint-Denis depuis Strasbourg.,Strasbourg,Saint-Denis
"Voyager de Toulouse à Perpignan en train, est-ce une option possible ?",Toulouse,Perpignan
"Voyager de Amiens à Lyon en train, est-ce une option possible ?",Amiens,Lyon
J'ai prévu de partir en train de Saint-Étienne à Aix-en-Provence.,Saint-Étienne,Aix-en-Provence
Pourquoi ne pas partir de Strasbourg à Tourcoing en train ce week-end ?,Strasbourg,Tourcoing
C'est le moment idéal pour un voyage de Toulouse à Saint-Denis en train.,Toulouse,Saint-Denis
Pourquoi ne pas partir de Nîmes à Orléans en train ce week-end ?,Nîmes,Orléans
Toulouse est une belle ville. Je veux y aller en train depuis Amiens.,Amiens,Toulouse
Je souhaite découvrir Perpignan en prenant le train depuis Paris.,Paris,Perpignan
Mon prochain voyage sera de Orléans à La Rochelle en train.,Orléans,La Rochelle
Le train est le meilleur moyen de se rendre de Tourcoing à Nantes.,Tourcoing,Nantes
La Rochelle est une belle ville. Je veux y aller en train depuis Bordeaux.,Bordeaux,La Rochelle
Mon prochain voyage sera de Bordeaux à Saint-Étienne en train.,Bordeaux,Saint-Étienne
"De Nîmes à Saint-Denis, le train est mon choix préféré.",Nîmes,Saint-Denis
Je veux prendre le train de Saint-Denis à Toulon.,Saint-Denis,Toulon
